np_val,open,high,low,close,volume
0,31150,31550,30750,31250,498392
0,6410,6530,6410,6520,937703
0,6550,6650,6530,6630,919742
3.0144922733306885,6640,6730,6630,6690,993736
0,6700,6730,6560,6620,723893
0,485500,498500,485500,488000,184613
0,491500,494500,478000,478500,189867
20.18828734755516,478000,483500,467500,472500,236323
0,476000,489500,471500,486000,178931
0,155000,157500,154000,156500,98229
0,160500,165000,160000,164000,239589
21.466250330209732,164000,166500,161500,162500,141887
0,163000,164000,161000,161500,90183
0,96200,96300,93500,94000,4098832
0,92400,92900,90800,91500,4728215
3.126617044210434,90900,93500,90500,92000,3045438
0,92400,94500,92100,93800,2414639
0,260000,261500,256000,257000,170696
0,256500,260000,254000,257500,120749
3.126617044210434,259500,265000,259000,264000,182387
0,268000,268500,263000,265500,143424
0,3505,3530,3435,3480,4329447
0,3515,3620,3510,3595,6444389
-10.662500828504562,3565,3625,3540,3600,3087797
0,3595,3630,3560,3570,2487832
0,35100,35700,34800,34850,422459
0,34800,35150,34550,35000,316601
-10.17132756114006,34950,35000,33100,33500,1093541
0,33550,33700,33150,33550,587481
0,72300,72400,71500,71500,14043287
0,70700,70900,68700,69000,31001484
72.20149344205856,68700,69600,68300,68800,24172015
0,69000,69800,68800,69400,19520641
0,32050,32050,28900,29050,10014881
0,28900,29950,28400,28950,4887028
-11.856024086475372,29000,29650,28850,29300,3087269
0,30200,31050,29400,29900,7597299
0,91400,93300,91100,92300,171975
0,90300,92900,90100,91900,170757
23.231942176818848,93400,94000,90900,92700,230482
0,93000,93700,92400,93400,129368
0,460000,476000,457500,474000,174489
0,471000,477000,466000,470000,105885
-3.614891856908798,468500,487000,464000,484000,161134
0,485500,498500,485500,488000,184613
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
-2.3369288742542267,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,91600,98800,91600,97300,292791
0,97300,101500,95600,100000,244101
-2.3369288742542267,101000,101000,98300,100500,141355
0,100500,103000,100000,100500,117404
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
39.92194953560829,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
28.045960277318954,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,460000,476000,457500,474000,174489
0,471000,477000,466000,470000,105885
-7.672957211732864,468500,487000,464000,484000,161134
0,485500,498500,485500,488000,184613
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
-6.394994229078293,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
57.70342394709587,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,44000,45550,44000,45400,141507
0,49800,50200,46350,46400,466832
54.42960810661316,47300,49300,46600,48150,231497
0,48500,48600,47850,48250,71795
0,71600,72100,71300,71600,13683532
0,72300,72400,71500,71500,14043287
-29.222729593515396,70700,70900,68700,69000,31001484
0,68700,69600,68300,68800,24172015
0,91400,93300,91100,92300,171975
0,90300,92900,90100,91900,170757
29.093730002641678,93400,94000,90900,92700,230482
0,93000,93700,92400,93400,129368
0,460000,476000,457500,474000,174489
0,471000,477000,466000,470000,105885
-4.508257120847702,468500,487000,464000,484000,161134
0,485500,498500,485500,488000,184613
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
-3.2302941381931305,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,91600,98800,91600,97300,292791
0,97300,101500,95600,100000,244101
-3.2302941381931305,101000,101000,98300,100500,141355
0,100500,103000,100000,100500,117404
0,131000,135500,129500,133000,185345
0,132500,134500,130000,132500,64571
143.51584821939468,131500,132000,127000,129000,83115
0,128500,134500,128000,132000,64110
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
35.58293756842613,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,96300,96800,95000,95700,3834957
0,96200,96300,93500,94000,4098832
191.89104536175728,92400,92900,90800,91500,4728215
0,90900,93500,90500,92000,3045438
0,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
191.89104536175728,256500,260000,254000,257500,120749
0,259500,265000,259000,264000,182387
0,460000,476000,457500,474000,174489
0,471000,477000,466000,470000,105885
21.031461745500565,468500,487000,464000,484000,161134
0,485500,498500,485500,488000,184613
0,12600,12800,12600,12750,538618
0,12700,12750,12500,12550,443051
-0.4175471067428589,12550,12600,12400,12550,555830
0,12600,12900,12550,12900,583917
0,112500,116000,112000,113000,4610915
0,115000,119500,115000,119500,5146917
-69.3698493540287,121500,121500,117500,117500,3930836
0,117000,118500,113000,113500,3810466
0,72600,72800,71200,71300,18956962
0,71600,72100,71300,71600,13683532
86.86795592308044,72300,72400,71500,71500,14043287
0,70700,70900,68700,69000,31001484
0,849000,859000,807000,812000,170809
0,818000,823000,783000,791000,139569
17.39538863301277,798000,824000,798000,815000,79810
0,828000,830000,812000,830000,60505
0,33300,35600,33200,35000,1053196
0,35200,35550,34150,34400,906215
23.918660789728165,34650,35500,34550,35100,628909
0,35100,35700,34800,34850,422459
0,259500,264500,257500,262000,177276
0,262500,266000,259500,259500,202086
-8.623381167650223,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
0,8360,8480,8180,8280,2300897
0,8320,8440,8260,8290,1507106
-11.793016105890274,8320,8470,8320,8440,943686
0,8450,8480,8370,8430,775745
0,73000,73000,71400,72200,24013921
0,72600,72800,71200,71300,18956962
90.002954185009,71600,72100,71300,71600,13683532
0,72300,72400,71500,71500,14043287
0,119500,125500,119000,125000,70773
0,127000,129500,125000,125500,105876
186.3388800919056,131000,135500,129500,133000,185345
0,132500,134500,130000,132500,64571
0,144500,149000,144000,149000,27178
0,150000,150500,145500,146000,24804
48.40442007780075,148500,150500,146500,150500,21971
0,149500,151000,147000,150000,16926
0,28450,29650,28450,29400,2577889
0,29550,29550,28000,28050,1823949
74.40756815671921,28350,28450,27800,28350,960145
0,28500,28600,28200,28300,729403
0,259500,264500,257500,262000,177276
0,262500,266000,259500,259500,202086
22.106126338243484,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
0,259500,264500,257500,262000,177276
0,262500,266000,259500,259500,202086
14.906677633523941,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
0,190819,192820,175473,176808,599341
0,180143,188150,172804,180478,534131
14.906677633523941,181478,194822,178476,194489,606147
0,218174,219508,198825,200494,1727208
0,25450,25950,24350,25550,3211863
0,25950,26050,23500,23700,4605136
3.7053410410881042,23950,24850,23500,24700,2332260
0,25050,25250,24100,24300,1683144
0,259500,264500,257500,262000,177276
0,262500,266000,259500,259500,202086
2.4974905252456665,262000,264500,259000,259500,146964
0,260000,261500,256000,257000,170696
0,190819,192820,175473,176808,599341
0,180143,188150,172804,180478,534131
2.4974905252456665,181478,194822,178476,194489,606147
0,218174,219508,198825,200494,1727208
0,90200,93800,90200,93100,325916
0,93000,93500,89900,89900,285447
93.99483785033226,91400,93300,91100,92300,171975
0,90300,92900,90100,91900,170757
0,44950,46200,44450,45300,423160
0,46000,46350,45400,45400,575581
30.51542827486992,45000,45300,43800,44800,412187
0,44300,44900,43450,43800,242128
0,22650,23950,22450,23650,552964
0,23650,24100,23150,23300,517406
6.463687390089035,23550,24450,23550,23750,649176
0,23950,25250,23950,24850,1008954
0,114500,116000,110500,111000,4885065
0,112500,116000,112000,113000,4610915
66.44730854034424,115000,119500,115000,119500,5146917
0,121500,121500,117500,117500,3930836
0,76800,78300,76300,77800,1810229
0,78100,78700,74700,74700,2272911
102.33841675519943,74900,79900,74800,79800,2014911
0,80700,82400,79800,81900,2260287
0,73900,74000,72900,73200,15803395
0,73000,73000,71400,72200,24013921
90.89046531915665,72600,72800,71200,71300,18956962
0,71600,72100,71300,71600,13683532
0,8570,8640,8480,8500,1054726
0,8360,8480,8180,8280,2300897
-16.239027738571167,8320,8440,8260,8290,1507106
0,8320,8470,8320,8440,943686
0,258000,258500,247500,248000,1020405
0,240000,240500,216000,218000,2415460
53.394322633743286,218500,227500,212000,212000,1834318
0,215000,219500,211500,213000,1072554
0,118000,120000,116000,116500,2329103
0,114500,116000,110500,111000,4885065
-23.148472011089325,112500,116000,112000,113000,4610915
0,115000,119500,115000,119500,5146917
0,8570,8640,8480,8500,1054726
0,8360,8480,8180,8280,2300897
-20.499074190855026,8320,8440,8260,8290,1507106
0,8320,8470,8320,8440,943686
0,8570,8640,8480,8500,1054726
0,8360,8480,8180,8280,2300897
-15.006515592336655,8320,8440,8260,8290,1507106
0,8320,8470,8320,8440,943686
0,8570,8640,8480,8500,1054726
0,8360,8480,8180,8280,2300897
-14.202414333820343,8320,8440,8260,8290,1507106
0,8320,8470,8320,8440,943686
0,265000,266500,260500,262500,138427
0,259500,264500,257500,262000,177276
15.50503921508789,262500,266000,259500,259500,202086
0,262000,264500,259000,259500,146964
0,257000,262000,257000,261000,193809
0,259000,271000,259000,268000,258303
-11.340454518795013,265000,266500,260500,262500,138427
0,259500,264500,257500,262000,177276
0,112000,113000,109000,109500,151363
0,109000,111000,107500,110000,141727
-18.09857389330864,107500,108500,105500,106000,106107
0,104000,105000,102500,103500,111377
0,257000,262000,257000,261000,193809
0,259000,271000,259000,268000,258303
27.961578637361526,265000,266500,260500,262500,138427
0,259500,264500,257500,262000,177276
0,175473,181144,174139,178810,274591
0,179143,192153,176808,189485,419598
27.961578637361526,190819,200160,189151,196157,486114
0,190819,192820,175473,176808,599341
0,99300,99800,97400,98000,105573
0,97900,99500,97100,98800,62841
34.785964488983154,98000,98600,96100,97100,54657
0,95700,98800,95600,97700,73306
0,74800,75300,73800,74100,23992458
0,74300,74800,73700,74100,19919361
-24.41421827673912,73900,74000,72900,73200,15803395
0,73000,73000,71400,72200,24013921
0,99600,100500,97800,98000,70471
0,98000,105000,98000,99600,126847
-36.08480405807495,98500,99300,92400,93000,120366
0,91100,94500,91100,93500,45039
0,259500,265000,259500,261000,471947
0,260000,263000,259000,259500,461399
-22.239892095327377,258000,258500,247500,248000,1020405
0,240000,240500,216000,218000,2415460
0,257000,262000,257000,261000,193809
0,259000,271000,259000,268000,258303
10.704604148864746,265000,266500,260500,262500,138427
0,259500,264500,257500,262000,177276
0,99300,99800,97400,98000,105573
0,97900,99500,97100,98800,62841
14.213092029094696,98000,98600,96100,97100,54657
0,95700,98800,95600,97700,73306
0,99600,100500,97800,98000,70471
0,98000,105000,98000,99600,126847
-66.37309315800667,98500,99300,92400,93000,120366
0,91100,94500,91100,93500,45039
0,78900,81400,78900,81400,1955635
0,80600,81700,80500,81200,1071982
24.500362515449524,80600,81100,78300,78300,1785166
0,76800,78300,76300,77800,1810229
0,16100,16450,16050,16250,240853
0,16250,16450,16100,16150,193868
4.596891164779663,16000,16100,15200,15300,460320
0,15000,15400,14700,14800,307337
0,93500,93700,90000,90300,335314
0,90400,93600,90000,93000,218312
2.9100995659828186,92900,93500,92000,93000,233277
0,90200,93800,90200,93100,325916
0,14550,14900,14500,14850,1560740
0,14850,15150,14800,15000,1772080
2.545145660638809,15050,15200,14850,15050,1720225
0,14950,15400,14950,15100,2608669
0,16100,16450,16050,16250,240853
0,16250,16450,16100,16150,193868
4.506195694208145,16000,16100,15200,15300,460320
0,15000,15400,14700,14800,307337
0,93500,93700,90000,90300,335314
0,90400,93600,90000,93000,218312
3.7438410818576813,92900,93500,92000,93000,233277
0,90200,93800,90200,93100,325916
0,14550,14900,14500,14850,1560740
0,14850,15150,14800,15000,1772080
3.378887176513672,15050,15200,14850,15050,1720225
0,14950,15400,14950,15100,2608669
0,259000,269500,255000,265500,1258073
0,268500,269000,262500,265000,577784
-2.2136679887771606,263000,265000,257500,263500,409424
0,263500,270000,258500,265000,602860
0,257000,262000,257000,261000,193809
0,259000,271000,259000,268000,258303
-2.2136679887771606,265000,266500,260500,262500,138427
0,259500,264500,257500,262000,177276
0,99300,99800,97400,98000,105573
0,97900,99500,97100,98800,62841
54.145703464746475,98000,98600,96100,97100,54657
0,95700,98800,95600,97700,73306
0,95300,96000,94800,95200,159950
0,94600,96100,94400,95700,131340
68.35798165202141,95300,95700,93800,93800,229044
0,93500,93700,90000,90300,335314
0,103000,104000,100500,102000,81040
0,101500,101500,100000,100500,66653
55.846621841192245,100500,101000,99100,99900,67999
0,99300,99800,97400,98000,105573
0,48850,49150,48300,48500,206136
0,48100,48650,48050,48500,202615
-2.5351030230522156,48400,48450,47450,47850,286388
0,47350,47750,46600,47200,409484
0,34450,34500,33850,34250,3886703
0,34200,34950,33850,34250,3901857
76.33961874246597,34250,34250,33300,33700,3138657
0,32850,33650,32800,33500,3540550
0,63000,63300,62000,62500,145467
0,63000,63500,61700,62900,109979
25.125128000974655,62800,63600,62100,63300,108511
0,62400,62900,60900,62400,81422
0,77600,77700,77100,77300,12247274
0,77300,77700,77000,77700,11699798
-0.009846240282058716,77700,77800,76200,76300,15406382
0,74800,75300,73800,74100,23992458
0,28500,28550,28100,28150,489016
0,27900,28300,27700,28000,570668
71.15581831336021,28050,28400,27800,28400,794044
0,28150,28850,28050,28750,1441654
0,21400,21450,20650,21000,711524
0,20850,21450,20600,21150,622264
71.15581831336021,21200,21250,20600,21200,634045
0,20800,21200,20650,21000,628740
0,103000,104000,100500,102000,81040
0,101500,101500,100000,100500,66653
14.247483283281326,100500,101000,99100,99900,67999
0,99300,99800,97400,98000,105573
0,48500,49050,48350,48750,281200
0,48850,49150,48300,48500,206136
5.239846974611282,48100,48650,48050,48500,202615
0,48400,48450,47450,47850,286388
0,77500,77600,76800,77400,17055590
0,77600,77700,77100,77300,12247274
83.12761759757996,77300,77700,77000,77700,11699798
0,77700,77800,76200,76300,15406382
0,48500,49050,48350,48750,281200
0,48850,49150,48300,48500,206136
-0.5446792840957642,48100,48650,48050,48500,202615
0,48400,48450,47450,47850,286388
0,6140,6200,6050,6200,3293193
0,6230,6230,6090,6140,2668770
-5.659973114728928,6070,6190,6070,6150,1918920
0,6150,6260,6100,6230,2733469
0,34550,35200,34150,34950,450440
0,35150,36300,34550,34650,477457
-14.642998367547989,34550,36150,34450,35450,510333
0,35450,35850,34950,35600,389092
0,139500,145500,139000,143000,337238
0,142000,144500,136000,138500,460215
18.19142147898674,137500,147000,136500,145500,527653
0,146500,159500,146000,156500,1219348
0,139500,145500,139000,143000,337238
0,142000,144500,136000,138500,460215
20.362669944763184,137500,147000,136500,145500,527653
0,146500,159500,146000,156500,1219348
0,116500,118000,114000,115000,6314773
0,116000,121000,116000,119500,5327603
111.25092723965645,120000,122500,119500,120000,3635942
0,120500,121500,117500,117500,3445583
0,265500,270500,264500,269500,56630
0,269500,274500,269500,272000,42285
